
0,0,-25.37575912475586
0,1,-27.27762222290039
0,2,-27.724706649780273
0,3,-27.16240692138672
0,4,-28.170536041259766
0,5,-27.57094955444336
0,6,-26.783924102783203
0,7,-27.200389862060547
0,8,-27.490062713623047
0,9,-26.89350128173828
0,10,-27.993148803710938
0,11,-13.852609634399414
1,0,-27.686954498291016
1,1,-27.337099075317383
1,2,-27.667903900146484
1,3,-27.876564025878906
1,4,-27.331581115722656
1,5,-27.541427612304688
1,6,-27.51681900024414
1,7,-27.887393951416016
1,8,-27.690767288208008
1,9,-28.095569610595703
1,10,-28.23451805114746
1,11,-13.84963607788086
2,0,-27.500133514404297
2,1,-27.962238311767578
2,2,-28.187294006347656
2,3,-27.79801368713379
2,4,-27.73849105834961
2,5,-27.995872497558594
2,6,-28.065887451171875
2,7,-28.002296447753906
2,8,-28.088422775268555
2,9,-27.796939849853516
2,10,-27.811691284179688
2,11,-13.914823532104492
3,0,-28.45318603515625
3,1,-27.934507369995117
3,2,-27.950727462768555
3,3,-27.959857940673828
3,4,-27.914701461791992
3,5,-28.228618621826172
3,6,-28.273487091064453
3,7,-27.87163543701172
3,8,-28.426273345947266
3,9,-28.087818145751953
3,10,-28.054828643798828
3,11,-13.9085693359375
4,0,-28.143381118774414
4,1,-28.202131271362305
4,2,-28.399948120117188
4,3,-28.326251983642578
4,4,-28.06182098388672
4,5,-28.456876754760742
4,6,-28.478046417236328
4,7,-28.183002471923828
4,8,-27.952899932861328
4,9,-28.381942749023438
4,10,-28.118492126464844
4,11,-13.843567848205566
5,0,-28.613296508789062
5,1,-28.223613739013672
5,2,-28.061901092529297
5,3,-27.989404678344727
5,4,-27.99860191345215
5,5,-28.469392776489258
5,6,-28.186065673828125
5,7,-28.46851921081543
5,8,-28.252723693847656
5,9,-28.363815307617188
5,10,-28.580638885498047
5,11,-13.885231971740723
6,0,-28.527210235595703
6,1,-28.204601287841797
6,2,-28.421066284179688
6,3,-28.644004821777344
6,4,-28.26344108581543
6,5,-28.5318660736084
6,6,-28.50738525390625
6,7,-28.592449188232422
6,8,-28.340499877929688
6,9,-28.440828323364258
6,10,-27.978511810302734
6,11,-13.902416229248047
7,0,-28.381847381591797
7,1,-28.401941299438477
7,2,-28.318763732910156
7,3,-28.345165252685547
7,4,-28.324935913085938
7,5,-28.589298248291016
7,6,-28.46554183959961
7,7,-28.32659339904785
7,8,-28.515878677368164
7,9,-28.69420623779297
7,10,-28.235754013061523
7,11,-13.8596773147583
8,0,-28.548879623413086
8,1,-28.4334716796875
8,2,-28.11865997314453
8,3,-28.660701751708984
8,4,-28.582372665405273
8,5,-28.42449188232422
8,6,-28.602771759033203
8,7,-28.351436614990234
8,8,-28.11454200744629
8,9,-28.453170776367188
8,10,-28.44754409790039
8,11,-13.890921592712402
9,0,-28.614686965942383
9,1,-28.431901931762695
9,2,-28.341835021972656
9,3,-28.264097213745117
9,4,-28.342775344848633
9,5,-28.780590057373047
9,6,-28.683809280395508
9,7,-28.1075496673584
9,8,-28.55459213256836
9,9,-28.566980361938477
9,10,-28.732847213745117
9,11,-13.859025955200195
